,Name,RegNo,Sex,9518-Place,9518-Points,9519-Place,9519-Points,9517-Place,9517-Points,9656-Place,9656-Points,9690-Place,9690-Points,Best3-Points,place
49,Pala Kateřina,PBM8756,F,12.,164,,,,,,,,,164,49
50,Stehlík Šimon,PBM1312,M,,,13.,163,,,,,,,163,51
51,Eliášek Jakub,LBM1101,M,,,,,,,,,13.,163,163,51
52,Malá Lucie,TBM1165,F,,,,,,,,,14.,162,162,53
53,Urban Milan,RBK1414,M,,,,,,,16.,160,,,160,54
54,Zemánek Jakub,RBK1202,M,16.,160,,,,,,,,,160,54
55,Kaňka Jan,TZL1202,M,,,18.,158,,,,,,,158,56
56,Benda Vojta,0280001,M,19.,157,,,,,,,,,157,57
57,Křížová Ema,ZBM1358,F,19.,157,,,,,,,,,157,57
58,Maksymenko Mark,ZBM1410,M,,,20.,156,,,,,,,156,59
59,Kaňka Vilém,TZL1402,M,,,22.,154,,,,,,,154,60
60,Jašová Anna,ZBM1557,F,,,,,,,22.,154,,,154,60
61,Janováčová Tereza,RBK1552,F,,,,,,,23.,153,,,153,62
62,Liška Jan,ZBM1306,M,,,,,23.,153,,,,,153,62
63,Skřivanek František,TBM1108,M,23.,153,,,,,,,,,153,62
64,Stehlík Jakub,PBM1605,M,,,23.,153,,,,,,,153,62
65,Stachoň Ondřej,ZBM1404,M,,,,,,,24.,152,DISK,0,152,66
66,Matoušek Vít,0220002,M,24.,152,,,,,,,,,152,66
67,Bilík Jakub,ZBM1704,M,,,,,25.,151,,,,,151,68
68,Urban Jan,RBK1234,M,,,,,,,26.,150,,,150,69
69,Cicvárek Lukáš,ZBM1305,M,,,,,,,,,26.,150,150,69
70,Redlich Jan,RBK1601,M,DISK,0,,,,,27.,149,,,149,71
71,Sluka Matouš,ZBM1414,M,,,,,,,28.,148,,,148,72
72,Jalová Kristýna,RBK1150,F,,,,,,,30.,146,,,146,73
73,Bříza Leoš,TTR1403,M,30.,146,,,,,,,,,146,73
74,Kozel Kryštof,ABM1501,M,31.,145,,,,,,,,,145,75
75,Bartošová Natálie,KAM1466,F,35.,141,,,,,,,,,141,76
76,Alena Motyčáková,0290002,F,37.,139,,,,,,,,,139,77
77,Sedláček Vojtěch,TTR1404,M,40.,136,,,,,,,,,136,78
78,Běžek Tadeáš,TBM1501,M,41.,135,,,,,,,,,135,79
79,Holý Šimon,TTR1203,M,42.,134,,,,,,,,,134,80
80,Vernerová Zita,VBM1651,F,43.,133,,,,,,,,,133,81
81,Marván Timotej,0310002,M,44.,132,,,,,,,,,132,82
82,Matlocha Simon,nereg.,M,45.,131,,,,,,,,,131,83
83,Kocourek Vít,ZBM1405,M,,,,,,,,,DISK,0,0,84
84,Kozlová Slávka,0210001,F,DISK,0,,,,,,,,,0,84
85,Král Jonáš,BBM1403,M,DISK,0,,,,,,,,,0,84
86,Klášterecký Antonín,BBM1402,M,,,,,DISK,0,,,,,0,84
87,Krejčiříková Kamila,BBM1550,F,,,,,,,DISK,0,,,0,84
88,Tejkal Václav,ADA1401,M,,,,,DISK,0,,,,,0,84
89,Vernerová Johana,VBM1451,F,DISK,0,,,,,,,,,0,84
90,Zemánková Magdaléna,RBK1451,F,,,,,,,DISK,0,,,0,84
